precision,recall,threshold
0.061968408262454436,1.0,1.0248572501368597e-05
0.06204379562043796,1.0,1.0349364559262183e-05
0.06211936662606577,1.0,1.0354779502980157e-05
0.06219512195121951,1.0,1.039606076763474e-05
0.06227106227106227,1.0,1.0396228061440699e-05
0.06234718826405868,1.0,1.0462067591331526e-05
0.0625,1.0,1.0508310735918348e-05
0.06257668711656442,1.0,1.0608692824310484e-05
0.06265356265356266,1.0,1.0628473061644357e-05
0.06273062730627306,1.0,1.0646281848846365e-05
0.06280788177339902,1.0,1.0657417326558942e-05
0.06288532675709001,1.0,1.0690295096150721e-05
0.06296296296296296,1.0,1.0772886167566232e-05
0.0630407911001236,1.0,1.0827341354144622e-05
0.06311881188118812,1.0,1.0896612756588307e-05
0.06319702602230483,1.0,1.0906888582126696e-05
0.06327543424317618,1.0,1.0935164117054088e-05
0.06335403726708075,1.0,1.0952332039997724e-05
0.06343283582089553,1.0,1.0960664182477515e-05
0.06351183063511831,1.0,1.10555158139653e-05
0.06359102244389027,1.0,1.1087844894043717e-05
0.06367041198501873,1.0,1.1100321452515587e-05
0.06375,1.0,1.1215352066349342e-05
0.06382978723404255,1.0,1.1284297657955146e-05
0.06390977443609022,1.0,1.1312631922302715e-05
0.06398996235884567,1.0,1.1327247441488879e-05
0.06407035175879397,1.0,1.135187787147693e-05
0.06415094339622641,1.0,1.1367424209227285e-05
0.06423173803526448,1.0,1.13718369350678e-05
0.06431273644388398,1.0,1.1389369441051451e-05
0.06439393939393939,1.0,1.1423033409133576e-05
0.06447534766118837,1.0,1.1457004295417955e-05
0.06455696202531645,1.0,1.1505652103199253e-05
0.06463878326996197,1.0,1.156150106674319e-05
0.06472081218274112,1.0,1.1595595058908811e-05
0.06480304955527319,1.0,1.1772470246012718e-05
0.0648854961832061,1.0,1.1790291867842163e-05
0.06496815286624204,1.0,1.179696657631027e-05
0.06505102040816327,1.0,1.1825716822271565e-05
0.06513409961685823,1.0,1.1843537051038359e-05
0.06521739130434782,1.0,1.1883868264402075e-05
0.06530089628681178,1.0,1.1916962060052751e-05
0.06538461538461539,1.0,1.1937683689407266e-05
0.06546854942233633,1.0,1.1982414364991173e-05
0.06555269922879177,1.0,1.200794859236983e-05
0.06563706563706563,1.0,1.201467506623852e-05
0.06572164948453608,1.0,1.2043311441855132e-05
0.06580645161290323,1.0,1.2073418722696232e-05
0.06589147286821706,1.0,1.2122328749325368e-05
0.06597671410090557,1.0,1.2189026778145837e-05
0.06606217616580311,1.0,1.219533989453383e-05
0.06614785992217899,1.0,1.221852874481659e-05
0.06623376623376623,1.0,1.2312872595252553e-05
0.06631989596879063,1.0,1.2353383699028293e-05
0.06640625,1.0,1.2356387526392127e-05
0.06649282920469361,1.0,1.236343216356774e-05
0.06657963446475196,1.0,1.2363989741249649e-05
0.06666666666666667,1.0,1.2392124154174772e-05
0.06675392670157068,1.0,1.2429481848394517e-05
0.06684141546526867,1.0,1.2439748683948132e-05
0.06692913385826772,1.0,1.2534406912898061e-05
0.06701708278580815,1.0,1.2555237633465845e-05
0.06710526315789474,1.0,1.2586777692596239e-05
0.06719367588932806,1.0,1.261277474096202e-05
0.06728232189973615,1.0,1.2637394074054951e-05
0.06737120211360634,1.0,1.2774390977868375e-05
0.06746031746031746,1.0,1.2775692621111954e-05
0.06754966887417219,1.0,1.2800060481280297e-05
0.06763925729442971,1.0,1.2804696970238565e-05
0.06772908366533864,1.0,1.2809700764846308e-05
0.0678191489361702,1.0,1.2862377440484776e-05
0.06790945406125166,1.0,1.2908055629369577e-05
0.068,1.0,1.2974300798127512e-05
0.06818181818181818,1.0,1.2981633367965622e-05
0.06827309236947791,1.0,1.3001305703998047e-05
0.06836461126005362,1.0,1.3077299665675204e-05
0.06845637583892618,1.0,1.311879333983643e-05
0.06854838709677419,1.0,1.3143309716760388e-05
